# BEGIN PLOT
LegendOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/m_ll //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/m_ll //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DefaultShower.yoda/MC_VBSCAN_MCComparison/m_ll //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/m_ll //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/lhef.yoda/MC_VBSCAN_MCComparison/m_ll //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_HWPP_5M_NLOPS.yoda/MC_VBSCAN_MCComparison/m_ll //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_10M_NLOPS.yoda/MC_VBSCAN_MCComparison/m_ll
DrawOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/m_ll //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/m_ll //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DefaultShower.yoda/MC_VBSCAN_MCComparison/m_ll //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/m_ll //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/lhef.yoda/MC_VBSCAN_MCComparison/m_ll //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_HWPP_5M_NLOPS.yoda/MC_VBSCAN_MCComparison/m_ll //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_10M_NLOPS.yoda/MC_VBSCAN_MCComparison/m_ll
Title=Dilepton invariant mass
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RatioPlotSameStyle=1
RatioPlotReference=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/m_ll
XLabel=$m_{e,\mu}$~[GeV]
YLabel=$d~\sigma_{WW\to e^+\nu \mu^+\nu}/d~m_{e,\mu}$~[fb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/m_ll
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=red
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/m_ll
RatioPlotErrorBandColor=red
ScaledBy=1
Title=NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+02	5.207343e-03	7.175571e-07	7.175571e-07
1.000000e+02	2.000000e+02	5.106756e-03	6.404909e-07	6.404909e-07
2.000000e+02	3.000000e+02	1.926614e-03	4.338282e-07	4.338282e-07
3.000000e+02	4.000000e+02	7.734830e-04	3.661300e-07	3.661300e-07
4.000000e+02	5.000000e+02	3.413042e-04	1.903333e-07	1.903333e-07
5.000000e+02	6.000000e+02	1.627496e-04	1.096299e-07	1.096299e-07
6.000000e+02	7.000000e+02	8.226501e-05	7.725326e-08	7.725326e-08
7.000000e+02	8.000000e+02	4.374149e-05	5.360129e-08	5.360129e-08
8.000000e+02	9.000000e+02	2.421711e-05	4.221989e-08	4.221989e-08
9.000000e+02	1.000000e+03	1.383466e-05	3.234737e-08	3.234737e-08
1.000000e+03	1.100000e+03	8.035735e-06	2.349964e-08	2.349964e-08
1.100000e+03	1.200000e+03	4.831285e-06	1.635419e-08	1.635419e-08
1.200000e+03	1.300000e+03	2.966787e-06	1.169819e-08	1.169819e-08
1.300000e+03	1.400000e+03	1.826599e-06	1.532178e-08	1.532178e-08
1.400000e+03	1.500000e+03	1.142750e-06	9.041878e-09	9.041878e-09
1.500000e+03	1.600000e+03	7.518707e-07	5.038046e-09	5.038046e-09
1.600000e+03	1.700000e+03	4.769280e-07	4.061488e-09	4.061488e-09
1.700000e+03	1.800000e+03	3.167300e-07	2.990863e-09	2.990863e-09
1.800000e+03	1.900000e+03	2.084543e-07	2.432815e-09	2.432815e-09
1.900000e+03	2.000000e+03	1.417860e-07	1.664494e-09	1.664494e-09
2.000000e+03	2.100000e+03	9.117516e-08	1.604537e-09	1.604537e-09
2.100000e+03	2.200000e+03	6.169658e-08	8.516118e-10	8.516118e-10
2.200000e+03	2.300000e+03	4.353835e-08	1.806610e-09	1.806610e-09
2.300000e+03	2.400000e+03	2.863415e-08	5.129035e-10	5.129035e-10
2.400000e+03	2.500000e+03	2.033840e-08	4.383888e-10	4.383888e-10
2.500000e+03	2.600000e+03	1.405404e-08	6.209838e-10	6.209838e-10
2.600000e+03	2.700000e+03	9.071656e-09	2.290062e-10	2.290062e-10
2.700000e+03	2.800000e+03	6.589329e-09	2.317567e-10	2.317567e-10
2.800000e+03	2.900000e+03	4.581523e-09	1.250543e-10	1.250543e-10
2.900000e+03	3.000000e+03	3.243734e-09	8.121028e-11	8.121028e-11
3.000000e+03	3.100000e+03	2.220835e-09	1.451473e-10	1.451473e-10
3.100000e+03	3.200000e+03	1.521588e-09	7.373254e-11	7.373254e-11
3.200000e+03	3.300000e+03	1.144233e-09	5.847243e-11	5.847243e-11
3.300000e+03	3.400000e+03	6.743085e-10	9.387335e-11	9.387335e-11
3.400000e+03	3.500000e+03	5.273030e-10	4.046685e-11	4.046685e-11
3.500000e+03	3.600000e+03	3.782139e-10	2.689374e-11	2.689374e-11
3.600000e+03	3.700000e+03	2.656519e-10	1.532230e-11	1.532230e-11
3.700000e+03	3.800000e+03	1.771815e-10	1.726957e-11	1.726957e-11
3.800000e+03	3.900000e+03	1.247611e-10	9.828770e-12	9.828770e-12
3.900000e+03	4.000000e+03	7.122932e-11	2.083710e-11	2.083710e-11
# END HISTO1D

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/m_ll
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=blue
LineStyle=solid
